datetime,SRI,SJI
1902-10-03,18.39173866650229,5.866165850756824
1902-10-04,18.39173866650229,5.866165850756824
1902-10-05,18.39173866650229,5.866165850756824
1902-10-06,18.39173866650229,5.866165850756824
1902-10-07,18.39173866650229,5.866165850756824
1902-10-08,18.39173866650229,5.866165850756824
1902-10-09,18.39173866650229,5.866165850756824
1902-10-10,18.39173866650229,5.866165850756824
1902-10-11,18.39173866650229,5.866165850756824
1902-10-12,18.39173866650229,5.866165850756824
1902-10-13,18.39173866650229,5.866165850756824
1902-10-14,18.39173866650229,5.866165850756824
1902-10-15,18.39173866650229,5.866165850756824
1902-10-16,18.39173866650229,5.866165850756824
1902-10-17,18.39173866650229,5.866165850756824
1902-10-18,18.39173866650229,5.866165850756824
1902-10-19,18.39173866650229,5.866165850756824
1902-10-20,18.39173866650229,5.866165850756824
1902-10-21,18.39173866650229,5.866165850756824
1902-10-22,18.39173866650229,5.866165850756824
1902-10-23,18.39173866650229,5.866165850756824
1902-10-24,18.39173866650229,5.866165850756824
1902-10-25,18.39173866650229,5.866165850756824
1902-10-26,18.39173866650229,5.866165850756824
1902-10-27,18.39173866650229,5.866165850756824
1902-10-28,18.39173866650229,5.866165850756824
1902-10-29,18.39173866650229,5.866165850756824
1902-10-30,18.39173866650229,5.866165850756824
1902-10-31,18.39173866650229,5.866165850756824
1902-11-01,18.39173866650229,5.866165850756824
1902-11-02,18.39173866650229,5.866165850756824
1902-11-03,18.39173866650229,5.866165850756824
1902-11-04,18.39173866650229,5.866165850756824
1902-11-05,18.39173866650229,5.866165850756824
1902-11-06,18.39173866650229,5.866165850756824
1902-11-07,18.39173866650229,5.866165850756824
1902-11-08,18.39173866650229,5.866165850756824
1902-11-09,18.39173866650229,5.866165850756824
1902-11-10,18.39173866650229,5.866165850756824
1902-11-11,18.39173866650229,5.866165850756824
1902-11-12,18.39173866650229,5.866165850756824
1902-11-13,18.39173866650229,5.866165850756824
1902-11-14,18.39173866650229,5.866165850756824
1902-11-15,18.39173866650229,5.866165850756824
1902-11-16,18.39173866650229,5.866165850756824
1902-11-17,18.39173866650229,5.866165850756824
1902-11-18,18.39173866650229,5.866165850756824
1902-11-19,18.39173866650229,5.866165850756824
